,LG,LG_block,X,position_window,Position_on_LG,CM_position,n,coefficient,block_size,cytotype,window_size,coefficient_MB,LG_final
236,L.7,2,281,565.833333333333,283170486.551587,54.7168385082936,6.66666666666667,-8.06026709732857e-05,25CM,NC,500000,-80.6026709732857,A1
237,L.7,3,275,336,168298000.555555,82.94347291,5,1.57081057677887e-17,25CM,NC,500000,1.57081057677887e-11,A1
238,L.7,4,270.5,99.125,49803204.6770187,115.510464275871,15.75,-2.05228095975717e-06,25CM,NC,500000,-2.05228095975716,A1
239,L.7,5,259.5,7.5,3916981.7125,136.278832824907,11.1666666666667,-4.9509294174731e-06,25CM,NC,500000,-4.9509294174731,A1
240,L.7,6,261.833333333333,116.166666666667,58385632.2347305,156.942706360599,19.1666666666667,-2.30609365855691e-06,25CM,NC,500000,-2.30609365855691,A1
241,L.8,0,634.5,513.5,257007082.22403,11.1331914874447,20,-2.73306901441535e-06,25CM,NC,500000,-2.73306901441535,A2
242,L.8,1,599.432432432432,471.027027027027,235758601.533232,39.8505427687051,15.3783783783784,3.73482334767959e-06,25CM,NC,500000,3.73482334767959,A2
243,L.8,2,470.953191489362,261.56170212766,131027630.067803,54.3534217147251,5.69787234042553,5.9013533071911e-06,25CM,NC,500000,5.9013533071911,A2
244,L.8,3,351.555555555556,63.2666666666667,31884636.0370313,80.3572848141241,6.33333333333333,9.21131438702777e-06,25CM,NC,500000,9.21131438702777,A2
245,L.8,4,306.5,3.5,1984700.1258414,114.018446258034,11.875,6.43853153967967e-06,25CM,NC,500000,6.43853153967967,A2
246,NA,2,642,0,0,55.57914791,1,NA,25CM,NC,500000,NA,NA
247,L.10,0,1.5,0.5,437504.291666667,39.96051239,11,-1.68571610317217e-20,50CM,NC,500000,-1.68571610317217e-14,Sex
248,L.10,1,54.2,106.333333333333,53411886.5248746,62.6093527215093,4.3,-2.28420522417643e-05,50CM,NC,500000,-22.8420522417643,Sex
249,L.10,2,14.3181818181818,13.6818181818182,7076805.52467426,115.39255298993,11.0909090909091,-3.17105096630389e-06,50CM,NC,500000,-3.17105096630389,Sex
250,L.3,0,115.2,33.1,16816048.8987933,28.9253683118897,11.22,-5.19516511521889e-06,50CM,NC,500000,-5.19516511521889,A4
251,L.3,1,97.2857142857143,18.5714285714286,9584800.99931973,54.8968361906281,9.71428571428571,-4.04746934494891e-06,50CM,NC,500000,-4.04746934494891,A4
252,L.5,0,172.661290322581,35.4838709677419,17983488.023131,32.9639443925112,9.95161290322581,2.52603925219352e-06,50CM,NC,500000,2.52603925219352,A3
253,L.5,1,227.291666666667,199.520833333333,100011040.282391,50.8425252889583,3.27083333333333,1.13873222244922e-05,50CM,NC,500000,11.3873222244922,A3
254,L.7,0,286.913043478261,584.347826086957,292411709.803706,25.5422943499905,13.4347826086957,-3.58602123735873e-06,50CM,NC,500000,-3.58602123735873,A1
255,L.7,1,279.5,508.375,254452365.052579,61.7734971087202,6.25,-6.44821367786254e-05,50CM,NC,500000,-64.4821367786254,A1
256,L.7,2,265.785714285714,59.8571428571429,30137680.5493678,124.41119365403,13.7857142857143,-3.29455887020685e-06,50CM,NC,500000,-3.29455887020685,A1
257,L.7,3,261.833333333333,116.166666666667,58385632.2347305,156.942706360599,19.1666666666667,-2.30609365855691e-06,50CM,NC,500000,-2.30609365855691,A1
258,L.8,0,609.058823529412,482.686274509804,241591517.801294,31.9673482993395,16.6470588235294,1.88685410136675e-06,50CM,NC,500000,1.88685410136675,A2
259,L.8,1,451.764285714286,229.692857142857,115093934.598572,58.5326139985571,5.8,6.44053248761699e-06,50CM,NC,500000,6.44053248761699,A2
260,L.8,2,306.5,3.5,1984700.1258414,114.018446258034,11.875,6.43853153967967e-06,50CM,NC,500000,6.43853153967967,A2
261,NA,1,642,0,0,55.57914791,1,NA,50CM,NC,500000,NA,NA
262,L.10,0,43.5,96.2093023255814,9671398.26316051,100.622461493756,4.40697674418605,-0.00147733786493926,25MB,NC,100000,-1477.33786493926,Sex
263,L.10,1,101,369.931034482759,37042059.1617406,57.5951014832759,2.58620689655172,-6.60959608399791e-05,25MB,NC,100000,-66.0959608399791,Sex
264,L.10,2,120.5,631.3,63187357.2928571,55.690263594,2.2,-2.01157869415537e-17,25MB,NC,100000,-2.01157869415537e-11,Sex
265,L.10,3,131,798,79846429.2954545,55.57914791,1.81818181818182,-2.45234193967262e-17,25MB,NC,100000,-2.45234193967262e-11,Sex
266,L.10,4,139,1202.6,120322840.75,50.79511513,3.4,1.37477874366965e-18,25MB,NC,100000,1.37477874366965e-12,Sex
267,L.10,5,144,1330.6,133102472,58.263743384,2.2,1.23878831492948e-17,25MB,NC,100000,1.23878831492948e-11,Sex
268,L.3,0,206,124.193277310924,12465648.8596123,35.2388843213412,4.15126050420168,-1.89112703812468e-05,25MB,NC,100000,-18.9112703812468,A4
269,L.3,1,278,292.8,29332684.5078268,19.7659151109764,5.4,8.77563583771462e-06,25MB,NC,100000,8.77563583771462,A4
270,L.5,0,345.5,110.554545454545,11107533.3893953,32.4200910725239,4.07272727272727,-2.28445346294485e-07,25MB,NC,100000,-0.228445346294485,A3
271,L.5,1,424.5,328.4375,32897078.0770089,37.2311552920486,3.83333333333333,0.000182464877567635,25MB,NC,100000,182.464877567635,A3
272,L.5,2,449,731,73115029,18.89920562,1,NA,25MB,NC,100000,NA,A3
273,L.5,3,463.5,882.821428571429,88332031.8763606,50.79511513,2.57142857142857,1.27234583078251e-17,25MB,NC,100000,1.27234583078251e-11,A3
274,L.5,4,487,1081.68421052632,108228156.302757,50.79511513,2.73684210526316,-3.6670002743091e-17,25MB,NC,100000,-3.6670002743091e-11,A3
275,L.5,5,503,1346.38461538462,134671365.769231,51.1838520323077,1.30769230769231,0.000113873222244913,25MB,NC,100000,113.873222244913,A3
276,L.7,0,540.5,48.9032258064516,4937206.82197156,130.815941232465,4.74193548387097,-1.5375084621972e-05,25MB,NC,100000,-15.375084621972,A1
277,L.7,5,573,1405,140556224.933333,0,6.66666666666667,0,25MB,NC,100000,0,A1
